Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,700.000000,700.599976,688.799988,697.099976,692.109009,1894873
2024-01-03,699.000000,704.200012,693.700012,703.599976,698.562439,1977101
2024-01-04,708.200012,730.299988,707.000000,728.900024,723.681335,3636510
2024-01-05,729.099976,729.599976,721.299988,725.799988,720.603516,2119871
2024-01-08,720.000000,725.200012,715.700012,720.000000,714.845032,1370488
2024-01-09,719.000000,726.400024,718.500000,723.099976,717.922852,2168382
2024-01-10,725.000000,738.299988,723.500000,737.900024,732.616943,2457812
2024-01-11,740.000000,743.900024,729.000000,729.000000,723.780640,2596398
2024-01-12,726.099976,729.900024,724.700012,725.599976,720.404907,1707352
2024-01-15,726.900024,727.000000,724.200012,725.599976,720.404907,703622
2024-01-16,729.099976,733.299988,723.599976,731.500000,726.262695,1973225
2024-01-17,730.700012,733.599976,724.500000,732.400024,727.156311,2373633
2024-01-18,735.000000,737.099976,726.700012,732.299988,727.056946,2409006
2024-01-19,732.099976,739.099976,730.400024,732.400024,727.156311,2279228
2024-01-22,732.400024,733.400024,723.299988,726.599976,721.397766,1866415
2024-01-23,724.299988,724.299988,703.599976,721.099976,715.937134,3060514
2024-01-24,725.000000,730.099976,721.599976,725.000000,719.809265,1753663
2024-01-25,729.500000,729.500000,720.799988,723.900024,718.717163,1814158
2024-01-26,720.000000,733.000000,719.900024,732.000000,726.759155,2276910
2024-01-29,740.000000,746.900024,735.000000,745.700012,740.361084,2743870
2024-01-30,752.000000,756.500000,745.700012,748.200012,742.843140,2909170
2024-01-31,767.000000,793.500000,743.200012,774.799988,769.252686,8251253
2024-02-01,790.200012,795.700012,774.299988,786.400024,780.769653,3624517
2024-02-02,790.000000,790.000000,773.900024,781.400024,775.805481,3407420
2024-02-05,789.000000,821.799988,783.400024,809.799988,804.002075,4226272
2024-02-06,820.000000,825.400024,806.500000,813.500000,807.675598,3907047
2024-02-07,813.500000,827.500000,799.000000,822.200012,816.313354,3769053
2024-02-08,822.200012,826.000000,812.400024,813.799988,807.973450,2485892
2024-02-09,824.000000,833.500000,819.299988,831.900024,825.943909,2191173
2024-02-12,842.200012,845.700012,825.599976,830.599976,824.653198,2315507
2024-02-13,831.099976,841.400024,826.700012,832.299988,826.341003,2291893
2024-02-14,836.000000,848.200012,829.299988,846.900024,840.836487,2400453
2024-02-15,843.000000,852.200012,842.599976,848.500000,842.425049,2153782
2024-02-16,844.000000,851.799988,841.599976,850.900024,844.807861,2253797
2024-02-19,856.799988,858.599976,851.700012,858.000000,851.856995,1303107
2024-02-20,858.000000,861.500000,838.299988,843.299988,837.262268,2461009
2024-02-21,836.000000,856.000000,816.000000,830.799988,824.851746,2671695
2024-02-22,841.000000,855.000000,838.099976,853.200012,847.091370,2516346
2024-02-23,853.200012,856.000000,848.799988,849.000000,842.921448,1465756
2024-02-26,846.599976,851.900024,842.799988,844.099976,838.056519,1783586
2024-02-27,849.099976,852.000000,806.500000,833.900024,827.929565,3279646
2024-02-28,827.000000,842.599976,827.000000,834.099976,828.128113,1684866
2024-02-29,838.500000,838.500000,818.799988,819.700012,813.831238,5761905
2024-03-01,819.799988,850.900024,817.099976,850.900024,844.807861,3411437
2024-03-04,858.799988,880.900024,858.299988,877.200012,870.919556,3392631
2024-03-05,881.200012,883.299988,850.900024,855.000000,848.878479,2966315
2024-03-06,852.599976,856.500000,843.599976,848.900024,842.822205,2164068
2024-03-07,858.400024,932.000000,853.500000,919.599976,913.015991,6904984
2024-03-08,910.000000,919.500000,902.200012,905.000000,898.520508,3982115
2024-03-11,914.400024,921.200012,892.599976,895.099976,888.691345,2679575
2024-03-12,903.000000,919.900024,883.500000,914.799988,908.250366,2504539
2024-03-13,916.700012,923.099976,901.500000,905.500000,899.016907,2335677
2024-03-14,910.599976,927.900024,909.200012,924.500000,917.880920,2484746
2024-03-15,920.000000,924.299988,904.000000,904.000000,897.527649,5984110
2024-03-18,908.000000,914.200012,896.799988,914.200012,907.654663,2038431
2024-03-19,913.400024,918.099976,897.200012,897.200012,890.776367,3180568
2024-03-20,900.900024,903.900024,896.299988,902.000000,895.541992,1802319
2024-03-21,892.299988,898.900024,870.099976,893.900024,887.500000,3529479
2024-03-22,888.400024,896.700012,883.099976,887.200012,887.200012,2197630
